year,period,periodName,latest,value,footnotes,calculations
2023,M11,November,true,307.917,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.5', '6': '1.5', '12': '3.1'}}"
2023,M10,October,,307.619,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '1.1', '6': '1.6', '12': '3.2'}}"
2023,M09,September,,307.481,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.2', '6': '1.9', '12': '3.7'}}"
2023,M08,August,,306.269,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '1.0', '6': '1.5', '12': '3.7'}}"
2023,M07,July,,304.348,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.5', '6': '1.3', '12': '3.3'}}"
2023,M06,June,,303.841,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.7', '6': '1.6', '12': '3.1'}}"
2023,M05,May,,303.294,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.5', '6': '1.6', '12': '4.1'}}"
2023,M04,April,,302.918,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.8', '6': '1.7', '12': '5.0'}}"
2023,M03,March,,301.808,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.9', '6': '1.8', '12': '5.0'}}"
2023,M02,February,,301.648,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.0', '6': '2.1', '12': '6.0'}}"
2023,M01,January,,300.536,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.9', '6': '2.0', '12': '6.3'}}"
2022,M12,December,,298.990,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.8', '6': '1.4', '12': '6.4'}}"
2022,M11,November,,298.598,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '1.1', '6': '2.5', '12': '7.1'}}"
2022,M10,October,,297.987,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.1', '6': '3.2', '12': '7.8'}}"
