year,period,periodName,latest,value,footnotes,calculations
2022,A01,Annual,true,454,[{}],"{'net_changes': {'12': '30'}, 'pct_changes': {'12': '7.1'}}"
2021,A01,Annual,,424,[{}],"{'net_changes': {'12': '98'}, 'pct_changes': {'12': '30.1'}}"
2020,A01,Annual,,326,[{}],"{'net_changes': {'12': '-121'}, 'pct_changes': {'12': '-27.1'}}"
2019,A01,Annual,,447,[{}],"{'net_changes': {'12': '27'}, 'pct_changes': {'12': '6.4'}}"
2018,A01,Annual,,420,[{}],"{'net_changes': {'12': '-22'}, 'pct_changes': {'12': '-5.0'}}"
2017,A01,Annual,,442,[{}],"{'net_changes': {'12': '15'}, 'pct_changes': {'12': '3.5'}}"
2016,A01,Annual,,427,[{}],"{'net_changes': {'12': '5'}, 'pct_changes': {'12': '1.2'}}"
2015,A01,Annual,,422,[{}],"{'net_changes': {'12': '-8'}, 'pct_changes': {'12': '-1.9'}}"
2014,A01,Annual,,430,[{}],"{'net_changes': {'12': '56'}, 'pct_changes': {'12': '15.0'}}"
2013,A01,Annual,,374,[{}],"{'net_changes': {'12': '-34'}, 'pct_changes': {'12': '-8.3'}}"
2012,A01,Annual,,408,[{}],"{'net_changes': {'12': '4'}, 'pct_changes': {'12': '1.0'}}"
2011,A01,Annual,,404,[{}],"{'net_changes': {'12': '22'}, 'pct_changes': {'12': '5.8'}}"
2010,A01,Annual,,382,[{}],"{'net_changes': {'12': '-1'}, 'pct_changes': {'12': '-0.3'}}"
2009,A01,Annual,,383,[{}],"{'net_changes': {'12': '-44'}, 'pct_changes': {'12': '-10.3'}}"
2008,A01,Annual,,427,[{}],"{'net_changes': {'12': '-8'}, 'pct_changes': {'12': '-1.8'}}"
