year,period,periodName,latest,value,footnotes,calculations
2023,M10,October,true,249.088,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '-1.3', '3': '1.5', '6': '0.2', '12': '-1.9'}}"
2023,M09,September,,252.270,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '2.6', '6': '1.3', '12': '0.2'}}"
2023,M08,August,,251.100,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '2.3', '3': '2.0', '6': '0.7', '12': '-0.2'}}"
2023,M07,July,,245.391,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-1.3', '6': '-1.5', '12': '-4.3'}}"
2023,M06,June,,245.784,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-1.3', '6': '0.3', '12': '-6.3'}}"
2023,M05,May,,246.206,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.0', '3': '-1.2', '6': '-2.6', '12': '-4.0'}}"
2023,M04,April,,248.583,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-0.2', '6': '-2.1', '12': '-0.4'}}"
2023,M03,March,,248.980,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '1.6', '6': '-1.2', '12': '1.5'}}"
2023,M02,February,,249.308,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '-1.4', '6': '-0.9', '12': '5.1'}}"
2023,M01,January,,249.178,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.7', '3': '-1.9', '6': '-2.9', '12': '7.6'}}"
2022,M12,December,,245.115,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-3.1', '3': '-2.7', '6': '-6.6', '12': '8.2'}}"
2022,M11,November,,252.905,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '0.6', '6': '-1.4', '12': '11.4'}}"
2022,M10,October,,254.030,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '-1.0', '6': '1.8', '12': '12.7'}}"
2022,M09,September,,251.891,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '-4.0', '6': '2.6', '12': '13.5'}}"
2022,M08,August,,251.494,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-2.0', '3': '-1.9', '6': '6.0', '12': '14.3'}}"
2022,M07,July,,256.526,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-2.2', '3': '2.8', '6': '10.8', '12': '16.9'}}"
2022,M06,June,,262.418,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.3', '3': '6.9', '6': '15.9', '12': '20.4'}}"
2022,M05,May,,256.396,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.7', '3': '8.1', '6': '12.9', '12': '19.2'}}"
2022,M04,April,,249.560,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.7', '3': '7.8', '6': '10.7', '12': '18.8'}}"
2022,M03,March,,245.404,[{}],"{'net_changes': {}, 'pct_changes': {'1': '3.4', '3': '8.4', '6': '10.6', '12': '18.0'}}"
2022,M02,February,,237.245,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.5', '3': '4.5', '6': '7.8', '12': '16.8'}}"
2022,M01,January,,231.495,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.2', '3': '2.7', '6': '5.5', '12': '16.0'}}"
2021,M12,December,,226.470,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '2.1', '6': '3.9', '12': '15.1'}}"
2021,M11,November,,227.109,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '3.2', '6': '5.6', '12': '16.8'}}"
2021,M10,October,,225.478,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.6', '3': '2.7', '6': '7.3', '12': '16.4'}}"
2021,M09,September,,221.869,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '1.8', '6': '6.7', '12': '15.0'}}"
2021,M08,August,,220.114,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '2.3', '6': '8.4', '12': '14.0'}}"
2021,M07,July,,219.492,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '4.5', '6': '10.0', '12': '14.1'}}"
2021,M06,June,,217.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.3', '3': '4.8', '6': '10.8', '12': '14.6'}}"
2021,M05,May,,215.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.4', '3': '5.9', '6': '10.6', '12': '13.9'}}"
2021,M04,April,,210.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '5.3', '6': '8.5', '12': '12.9'}}"
2021,M03,March,,207.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.4', '3': '5.7', '6': '7.8', '12': '8.1'}}"
2021,M02,February,,203.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.8', '3': '4.4', '6': '5.2', '12': '4.1'}}"
2021,M01,January,,199.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.5', '3': '3.0', '6': '3.8', '12': '1.5'}}"
2020,M12,December,,196.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '2.0', '6': '3.4', '12': '0.2'}}"
2020,M11,November,,194.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.8', '6': '3.0', '12': '-1.0'}}"
2020,M10,October,,193.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.7', '6': '4.1', '12': '-1.5'}}"
2020,M09,September,,192.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '1.4', '6': '0.3', '12': '-1.5'}}"
2020,M08,August,,193.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '2.2', '6': '-1.1', '12': '-1.7'}}"
2020,M07,July,,192.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '3.3', '6': '-2.2', '12': '-2.6'}}"
2020,M06,June,,190.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '-1.1', '6': '-3.2', '12': '-3.5'}}"
2020,M05,May,,188.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.5', '3': '-3.2', '6': '-3.9', '12': '-5.1'}}"
2020,M04,April,,186.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-3.2', '3': '-5.3', '6': '-5.3', '12': '-6.6'}}"
