year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2023,M10,October,true,223.413,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '-3.0', '3': '-3.0', '6': '2.4', '12': '3.9'}}",2023-10-01,-3.0,-3.0,2.4,3.9
2023,M09,September,,230.29,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '0.2', '6': '4.7', '12': '5.4'}}",2023-09-01,-0.2,0.2,4.7,5.4
2023,M08,August,,230.674,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '4.8', '6': '4.2', '12': '5.2'}}",2023-08-01,0.2,4.8,4.2,5.2
2023,M07,July,,230.309,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '5.5', '6': '4.6', '12': '6.7'}}",2023-07-01,0.2,5.5,4.6,6.7
2023,M06,June,,229.889,[{}],"{'net_changes': {}, 'pct_changes': {'1': '4.5', '3': '4.5', '6': '8.0', '12': '7.7'}}",2023-06-01,4.5,4.5,8.0,7.7
2023,M05,May,,220.008,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '-0.6', '6': '3.8', '12': '7.9'}}",2023-05-01,0.8,-0.6,3.8,7.9
2023,M04,April,,218.217,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.8', '3': '-0.9', '6': '1.4', '12': '8.3'}}",2023-04-01,-0.8,-0.9,1.4,8.3
2023,M03,March,,219.904,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.7', '3': '3.3', '6': '0.7', '12': '9.5'}}",2023-03-01,-0.7,3.3,0.7,9.5
2023,M02,February,,221.376,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '4.4', '6': '0.9', '12': '12.9'}}",2023-02-01,0.5,4.4,0.9,12.9
2023,M01,January,,220.174,[{}],"{'net_changes': {}, 'pct_changes': {'1': '3.4', '3': '2.4', '6': '2.0', '12': '12.1'}}",2023-01-01,3.4,2.4,2.0,12.1
