year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2023,M10,October,true,3.9,[{}],"{'net_changes': {'1': '0.1', '3': '0.4', '6': '0.5', '12': '0.2'}, 'pct_changes': {'1': '2.6', '3': '11.4', '6': '14.7', '12': '5.4'}}",2023-10-01,0.1,0.4,0.5,0.2
2023,M09,September,,3.8,[{}],"{'net_changes': {'1': '0.0', '3': '0.2', '6': '0.3', '12': '0.3'}, 'pct_changes': {'1': '0.0', '3': '5.6', '6': '8.6', '12': '8.6'}}",2023-09-01,0.0,0.2,0.3,0.3
2023,M08,August,,3.8,[{}],"{'net_changes': {'1': '0.3', '3': '0.1', '6': '0.2', '12': '0.1'}, 'pct_changes': {'1': '8.6', '3': '2.7', '6': '5.6', '12': '2.7'}}",2023-08-01,0.3,0.1,0.2,0.1
2023,M07,July,,3.5,[{}],"{'net_changes': {'1': '-0.1', '3': '0.1', '6': '0.1', '12': '0.0'}, 'pct_changes': {'1': '-2.8', '3': '2.9', '6': '2.9', '12': '0.0'}}",2023-07-01,-0.1,0.1,0.1,0.0
2023,M06,June,,3.6,[{}],"{'net_changes': {'1': '-0.1', '3': '0.1', '6': '0.1', '12': '0.0'}, 'pct_changes': {'1': '-2.7', '3': '2.9', '6': '2.9', '12': '0.0'}}",2023-06-01,-0.1,0.1,0.1,0.0
2023,M05,May,,3.7,[{}],"{'net_changes': {'1': '0.3', '3': '0.1', '6': '0.1', '12': '0.1'}, 'pct_changes': {'1': '8.8', '3': '2.8', '6': '2.8', '12': '2.8'}}",2023-05-01,0.3,0.1,0.1,0.1
2023,M04,April,,3.4,[{}],"{'net_changes': {'1': '-0.1', '3': '0.0', '6': '-0.3', '12': '-0.2'}, 'pct_changes': {'1': '-2.9', '3': '0.0', '6': '-8.1', '12': '-5.6'}}",2023-04-01,-0.1,0.0,-0.3,-0.2
2023,M03,March,,3.5,[{}],"{'net_changes': {'1': '-0.1', '3': '0.0', '6': '0.0', '12': '-0.1'}, 'pct_changes': {'1': '-2.8', '3': '0.0', '6': '0.0', '12': '-2.8'}}",2023-03-01,-0.1,0.0,0.0,-0.1
2023,M02,February,,3.6,[{}],"{'net_changes': {'1': '0.2', '3': '0.0', '6': '-0.1', '12': '-0.2'}, 'pct_changes': {'1': '5.9', '3': '0.0', '6': '-2.7', '12': '-5.3'}}",2023-02-01,0.2,0.0,-0.1,-0.2
2023,M01,January,,3.4,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.3', '6': '-0.1', '12': '-0.6'}, 'pct_changes': {'1': '-2.9', '3': '-8.1', '6': '-2.9', '12': '-15.0'}}",2023-01-01,-0.1,-0.3,-0.1,-0.6
2022,M12,December,,3.5,[{}],"{'net_changes': {'1': '-0.1', '3': '0.0', '6': '-0.1', '12': '-0.4'}, 'pct_changes': {'1': '-2.8', '3': '0.0', '6': '-2.8', '12': '-10.3'}}",2022-12-01,-0.1,0.0,-0.1,-0.4
2022,M11,November,,3.6,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.1', '6': '0.0', '12': '-0.6'}, 'pct_changes': {'1': '-2.7', '3': '-2.7', '6': '0.0', '12': '-14.3'}}",2022-11-01,-0.1,-0.1,0.0,-0.6
2022,M10,October,,3.7,[{}],"{'net_changes': {'1': '0.2', '3': '0.2', '6': '0.1', '12': '-0.8'}, 'pct_changes': {'1': '5.7', '3': '5.7', '6': '2.8', '12': '-17.8'}}",2022-10-01,0.2,0.2,0.1,-0.8
2022,M09,September,,3.5,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.1', '6': '-0.1', '12': '-1.3'}, 'pct_changes': {'1': '-5.4', '3': '-2.8', '6': '-2.8', '12': '-27.1'}}",2022-09-01,-0.2,-0.1,-0.1,-1.3
2022,M08,August,,3.7,[{}],"{'net_changes': {'1': '0.2', '3': '0.1', '6': '-0.1', '12': '-1.5'}, 'pct_changes': {'1': '5.7', '3': '2.8', '6': '-2.6', '12': '-28.8'}}",2022-08-01,0.2,0.1,-0.1,-1.5
2022,M07,July,,3.5,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.1', '6': '-0.5', '12': '-1.9'}, 'pct_changes': {'1': '-2.8', '3': '-2.8', '6': '-12.5', '12': '-35.2'}}",2022-07-01,-0.1,-0.1,-0.5,-1.9
2022,M06,June,,3.6,[{}],"{'net_changes': {'1': '0.0', '3': '0.0', '6': '-0.3', '12': '-2.3'}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '-7.7', '12': '-39.0'}}",2022-06-01,0.0,0.0,-0.3,-2.3
2022,M05,May,,3.6,[{}],"{'net_changes': {'1': '0.0', '3': '-0.2', '6': '-0.6', '12': '-2.2'}, 'pct_changes': {'1': '0.0', '3': '-5.3', '6': '-14.3', '12': '-37.9'}}",2022-05-01,0.0,-0.2,-0.6,-2.2
2022,M04,April,,3.6,[{}],"{'net_changes': {'1': '0.0', '3': '-0.4', '6': '-0.9', '12': '-2.5'}, 'pct_changes': {'1': '0.0', '3': '-10.0', '6': '-20.0', '12': '-41.0'}}",2022-04-01,0.0,-0.4,-0.9,-2.5
2022,M03,March,,3.6,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.3', '6': '-1.2', '12': '-2.5'}, 'pct_changes': {'1': '-5.3', '3': '-7.7', '6': '-25.0', '12': '-41.0'}}",2022-03-01,-0.2,-0.3,-1.2,-2.5
2022,M02,February,,3.8,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.4', '6': '-1.4', '12': '-2.4'}, 'pct_changes': {'1': '-5.0', '3': '-9.5', '6': '-26.9', '12': '-38.7'}}",2022-02-01,-0.2,-0.4,-1.4,-2.4
2022,M01,January,,4.0,[{}],"{'net_changes': {'1': '0.1', '3': '-0.5', '6': '-1.4', '12': '-2.3'}, 'pct_changes': {'1': '2.6', '3': '-11.1', '6': '-25.9', '12': '-36.5'}}",2022-01-01,0.1,-0.5,-1.4,-2.3
2021,M12,December,,3.9,[{}],"{'net_changes': {'1': '-0.3', '3': '-0.9', '6': '-2.0', '12': '-2.8'}, 'pct_changes': {'1': '-7.1', '3': '-18.8', '6': '-33.9', '12': '-41.8'}}",2021-12-01,-0.3,-0.9,-2.0,-2.8
2021,M11,November,,4.2,[{}],"{'net_changes': {'1': '-0.3', '3': '-1.0', '6': '-1.6', '12': '-2.5'}, 'pct_changes': {'1': '-6.7', '3': '-19.2', '6': '-27.6', '12': '-37.3'}}",2021-11-01,-0.3,-1.0,-1.6,-2.5
2021,M10,October,,4.5,[{}],"{'net_changes': {'1': '-0.3', '3': '-0.9', '6': '-1.6', '12': '-2.4'}, 'pct_changes': {'1': '-6.3', '3': '-16.7', '6': '-26.2', '12': '-34.8'}}",2021-10-01,-0.3,-0.9,-1.6,-2.4
2021,M09,September,,4.8,[{}],"{'net_changes': {'1': '-0.4', '3': '-1.1', '6': '-1.3', '12': '-3.1'}, 'pct_changes': {'1': '-7.7', '3': '-18.6', '6': '-21.3', '12': '-39.2'}}",2021-09-01,-0.4,-1.1,-1.3,-3.1
2021,M08,August,,5.2,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.6', '6': '-1.0', '12': '-3.2'}, 'pct_changes': {'1': '-3.7', '3': '-10.3', '6': '-16.1', '12': '-38.1'}}",2021-08-01,-0.2,-0.6,-1.0,-3.2
2021,M07,July,,5.4,[{}],"{'net_changes': {'1': '-0.5', '3': '-0.7', '6': '-0.9', '12': '-4.8'}, 'pct_changes': {'1': '-8.5', '3': '-11.5', '6': '-14.3', '12': '-47.1'}}",2021-07-01,-0.5,-0.7,-0.9,-4.8
2021,M06,June,,5.9,[{}],"{'net_changes': {'1': '0.1', '3': '-0.2', '6': '-0.8', '12': '-5.1'}, 'pct_changes': {'1': '1.7', '3': '-3.3', '6': '-11.9', '12': '-46.4'}}",2021-06-01,0.1,-0.2,-0.8,-5.1
2021,M05,May,,5.8,[{}],"{'net_changes': {'1': '-0.3', '3': '-0.4', '6': '-0.9', '12': '-7.4'}, 'pct_changes': {'1': '-4.9', '3': '-6.5', '6': '-13.4', '12': '-56.1'}}",2021-05-01,-0.3,-0.4,-0.9,-7.4
2021,M04,April,,6.1,[{}],"{'net_changes': {'1': '0.0', '3': '-0.2', '6': '-0.8', '12': '-8.6'}, 'pct_changes': {'1': '0.0', '3': '-3.2', '6': '-11.6', '12': '-58.5'}}",2021-04-01,0.0,-0.2,-0.8,-8.6
2021,M03,March,,6.1,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.6', '6': '-1.8', '12': '1.7'}, 'pct_changes': {'1': '-1.6', '3': '-9.0', '6': '-22.8', '12': '38.6'}}",2021-03-01,-0.1,-0.6,-1.8,1.7
2021,M02,February,,6.2,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.5', '6': '-2.2', '12': '2.7'}, 'pct_changes': {'1': '-1.6', '3': '-7.5', '6': '-26.2', '12': '77.1'}}",2021-02-01,-0.1,-0.5,-2.2,2.7
2021,M01,January,,6.3,[{}],"{'net_changes': {'1': '-0.4', '3': '-0.6', '6': '-3.9', '12': '2.8'}, 'pct_changes': {'1': '-6.0', '3': '-8.7', '6': '-38.2', '12': '80.0'}}",2021-01-01,-0.4,-0.6,-3.9,2.8
2020,M12,December,,6.7,[{}],"{'net_changes': {'1': '0.0', '3': '-1.2', '6': '-4.3', '12': '3.1'}, 'pct_changes': {'1': '0.0', '3': '-15.2', '6': '-39.1', '12': '86.1'}}",2020-12-01,0.0,-1.2,-4.3,3.1
2020,M11,November,,6.7,[{}],"{'net_changes': {'1': '-0.2', '3': '-1.7', '6': '-6.5', '12': '3.1'}, 'pct_changes': {'1': '-2.9', '3': '-20.2', '6': '-49.2', '12': '86.1'}}",2020-11-01,-0.2,-1.7,-6.5,3.1
2020,M10,October,,6.9,[{}],"{'net_changes': {'1': '-1.0', '3': '-3.3', '6': '-7.8', '12': '3.3'}, 'pct_changes': {'1': '-12.7', '3': '-32.4', '6': '-53.1', '12': '91.7'}}",2020-10-01,-1.0,-3.3,-7.8,3.3
2020,M09,September,,7.9,[{}],"{'net_changes': {'1': '-0.5', '3': '-3.1', '6': '3.5', '12': '4.4'}, 'pct_changes': {'1': '-6.0', '3': '-28.2', '6': '79.5', '12': '125.7'}}",2020-09-01,-0.5,-3.1,3.5,4.4
2020,M08,August,,8.4,[{}],"{'net_changes': {'1': '-1.8', '3': '-4.8', '6': '4.9', '12': '4.7'}, 'pct_changes': {'1': '-17.6', '3': '-36.4', '6': '140.0', '12': '127.0'}}",2020-08-01,-1.8,-4.8,4.9,4.7
