Doc_id,Text,SpannedText,Chunk,Sentiment,Tense,Include
0,"['[SECTION]\n\nFinancial markets remain under considerable stress, and credit has tightened further for some businesses and households.\xa0 ']",['considerable stress'],"---stress---+++considerable [ADJ, JJ (0.125)]",-0.125,['NaN'],"['stress', 'able']"
0,"['[SECTION]\n\nTodayâ\x80\x99s policy action, combined with those taken earlier, should help to promote moderate growth over time and to mitigate the risks to economic activity.\xa0 ']",['promote moderate growth over time'],"---growth---+++moderate [ADJ, JJ (-0.1875)]+++___promote [VERB, VB (0.11666666666666665)]______time [NOUN, NN (0.25)]___",0.07499999999999998,['NaN'],"['grow', 'growth']"
0,"['[SECTION]\n\nTodayâ\x80\x99s policy action, combined with those taken earlier, should help to promote moderate growth over time and to mitigate the risks to economic activity.\xa0 ']",['mitigate the risks to economic activity'],"---risk---+++___activity [NOUN, NN (0.09999999999999999)]___economic [ADJ, JJ (0.125)]+++mitigate [VERB, VB (0.016666666666666666)]",-0.11458333333333333,['NaN'],"['risk', 'risks']"
0,"['However, downside risks to growth remain.\xa0 ']",['downside risks to growth remain'],"---risk---+++downside [ADJ, JJ (-0.225)]+++___growth [NOUN, NN (0.2333333333333333)]___+++remain [VERB, VB (-0.87)]",0.2872222222222222,['NaN'],"['risk', 'risks', 'down', 'grow', 'growth']"
0,['The Committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks.\n\n'],['address those risks'],"---risk---+++address [VERB, VB (0.068)]",-0.068,['NaN'],"['risk', 'risks']"
0,"['[SECTION]\n\nIn a related action, the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 3-1/2 percent.\xa0 ']","['In a related action, the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to']","---decrease---+++___rate [NOUN, NN (0.243)]___+++___approve [VERB, VBD (0.15)]______action [NOUN, NN (0.09999999999999999)]___related [ADJ, JJ (0)]",-0.239,['past'],"['late', 'decrease']"
0,['[SECTION]\n\nThe Committee took this action in view of a weakening of the economic outlook and increasing downside risks to growth.\xa0 '],['weakening of the economic outlook'],"---weakening---+++___outlook [NOUN, NN (0.9)]___economic [ADJ, JJ (0.125)]",-0.9125,['NaN'],"['weak', 'weaken', 'weakening', 'weak', 'weaken', 'weakening']"
0,['[SECTION]\n\nThe Committee took this action in view of a weakening of the economic outlook and increasing downside risks to growth.\xa0 '],['increasing downside risks to growth'],"---risk---+++downside [ADJ, JJ (-0.225)]+++___growth [NOUN, NN (0.2333333333333333)]___+++increase [VERB, VBG (0.325)]",-0.1111111111111111,['present'],"['easing', 'risk', 'risks', 'down', 'increasing', 'grow', 'growth']"
0,"['While strains in short-term funding markets have eased somewhat, broader financial market conditions have continued to deteriorate and credit has tightened further for some businesses and households.\xa0 ']",['strains in short-term funding markets have eased'],"---strain---+++___market [NOUN, NNS (0.055)]___+++ease [VERB, VBN (0.11666666666666665)]",-0.08583333333333333,['present'],"['strain', 'strains']"
0,['[SECTION]\n\nAppreciable downside risks to growth remain.\xa0 '],['risks to growth remain'],"---risk---+++___growth [NOUN, NN (0.2333333333333333)]___+++remain [VERB, VB (-0.87)]",0.31833333333333336,['NaN'],"['risk', 'risks', 'grow', 'growth']"
0,['The Committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks.\n\n'],['address those risks'],"---risk---+++address [VERB, VB (0.068)]",-0.068,['NaN'],"['risk', 'risks']"
0,"['[SECTION]\n\nIn a related action, the Board of Governors approved a 75-basis-point decrease in the discount rate to 4 percent.\xa0 ']","['In a related action, the Board of Governors approved a 75-basis-point decrease in the discount rate to']","---decrease---+++___rate [NOUN, NN (0.243)]___+++___approve [VERB, VBD (0.15)]______action [NOUN, NN (0.09999999999999999)]___related [ADJ, JJ (0)]",-0.239,['past'],"['late', 'decrease']"
