record_date,Federal Financing Bank,Treasury Bonds,Government Account Series
2008-01-31,4.652,7.361,5.004
2008-02-29,4.652,7.294,4.988
2008-03-31,4.652,7.294,4.963
2008-04-30,4.652,7.294,4.955
2008-05-31,4.652,7.252,4.982
2008-06-30,4.652,7.252,4.871
2008-07-31,4.652,7.252,4.882
2008-08-31,4.652,7.095,4.933
2008-09-30,4.652,7.095,4.835
2008-10-31,4.652,7.095,4.789
2008-11-30,4.652,7.038,4.906
2008-12-31,4.652,7.038,4.714
2009-01-31,4.652,7.038,4.696
2009-02-28,4.652,6.953,4.717
2009-03-31,4.652,6.895,4.716
2009-04-30,4.652,6.895,4.681
2009-05-31,4.652,6.781,4.699
2009-06-30,4.628,6.748,4.582
2009-07-31,4.628,6.706,4.587
2009-08-31,4.628,6.612,4.572
2009-09-30,4.628,6.568,4.54
2009-10-31,4.628,6.519,4.527
2009-11-30,4.628,6.429,4.529
2009-12-31,4.628,6.395,4.444
2010-01-31,4.628,6.364,4.468
2010-02-28,4.628,6.325,4.469
2010-03-31,4.628,6.297,4.478
2010-04-30,4.628,6.27,4.46
2010-05-31,4.628,6.232,4.469
2010-06-30,4.628,6.197,4.301
2010-07-31,4.628,6.162,4.301
2010-08-31,4.628,6.117,4.287
2010-09-30,4.628,6.081,4.252
2010-10-31,4.628,6.047,4.238
2010-11-30,4.628,6.015,4.239
2010-12-31,4.628,5.992,4.207
2011-01-31,4.628,5.971,4.229
2011-02-28,4.628,5.949,4.235
2011-03-31,4.628,5.929,4.236
2011-04-30,4.628,5.908,4.228
2011-05-31,4.628,5.883,4.246
2011-06-30,4.625,5.86,4.119
2011-07-31,4.625,5.838,4.132
2011-08-31,4.625,5.804,4.022
2011-09-30,4.625,5.769,3.997
2011-10-31,4.625,5.732,3.971
2011-11-30,4.625,5.691,3.976
2011-12-31,4.625,5.654,3.946
2012-01-31,4.625,5.619,3.929
2012-02-29,4.625,5.581,3.937
2012-03-31,4.625,5.554,3.953
2012-04-30,4.625,5.523,3.941
2012-05-31,4.625,5.488,3.939
2012-06-30,4.625,5.452,3.713
2012-07-31,4.625,5.418,3.693
2012-08-31,4.625,5.383,3.697
2012-09-30,4.625,5.357,3.661
2012-10-31,4.625,5.331,3.651
2012-11-30,4.625,5.299,3.657
2012-12-31,4.625,5.275,3.62
2013-01-31,4.625,5.253,3.655
2013-02-28,4.625,5.227,3.626
2013-03-31,4.625,5.208,3.618
2013-04-30,4.625,5.185,3.597
2013-05-31,4.625,5.159,3.627
2013-06-30,4.625,5.142,3.492
2013-07-31,4.625,5.13,3.53
2013-08-31,4.625,5.112,3.539
2013-09-30,4.625,5.101,3.549
2013-10-31,3.619,5.088,3.454
2013-11-30,3.619,5.074,3.448
2013-12-31,3.619,5.063,3.428
2014-01-31,3.619,5.053,3.44
2014-02-28,3.619,5.037,3.424
2014-03-31,3.619,5.025,3.418
2014-04-30,3.619,5.011,3.419
2014-05-31,3.619,4.994,3.427
2014-06-30,3.516,4.981,3.277
2014-07-31,3.516,4.967,3.278
2014-08-31,3.516,4.949,3.284
2014-09-30,3.516,4.934,3.26
2014-10-31,3.516,4.919,3.257
2014-11-30,3.516,4.9,3.241
2014-12-31,3.516,4.883,3.22
2015-01-31,3.516,4.86,3.231
2015-02-28,3.516,4.795,3.202
2015-03-31,3.516,4.778,3.233
2015-04-30,3.516,4.761,3.23
2015-05-31,3.516,4.744,3.244
2015-06-30,3.43,4.731,3.106
2015-07-31,3.43,4.719,3.132
2015-08-31,3.43,4.686,3.128
2015-09-30,3.43,4.673,3.122
2015-10-31,3.219,4.66,3.106
2015-11-30,3.219,4.628,3.024
2015-12-31,3.219,4.615,3.014
2016-01-31,3.219,4.602,2.976
2016-02-29,3.219,4.568,2.956
2016-03-31,3.219,4.556,2.946
2016-04-30,3.219,4.543,2.946
2016-05-31,3.219,4.493,2.941
2016-06-30,3.08,4.479,2.815
2016-07-31,3.08,4.461,2.797
2016-08-31,3.08,4.441,2.796
2016-09-30,3.08,4.429,2.794
2016-10-31,3.08,4.417,2.765
2016-11-30,3.08,4.37,2.782
2016-12-31,3.08,4.362,2.811
2017-01-31,3.08,4.352,2.812
2017-02-28,3.08,4.34,2.815
2017-03-31,3.08,4.333,2.849
2017-04-30,3.08,4.324,2.844
2017-05-31,3.08,4.275,2.849
2017-06-30,2.966,4.266,2.766
2017-07-31,2.966,4.257,2.771
2017-08-31,2.966,4.217,2.774
2017-09-30,2.966,4.208,2.726
2017-10-31,2.966,4.2,2.727
2017-11-30,2.966,4.188,2.74
2017-12-31,2.966,4.18,2.752
2018-01-31,2.966,4.172,2.76
2018-02-28,2.966,4.162,2.771
2018-03-31,2.966,4.156,2.788
2018-04-30,2.966,4.149,2.787
2018-05-31,2.966,4.122,2.804
2018-06-30,2.86,4.115,2.779
2018-07-31,2.86,4.107,2.793
2018-08-31,2.86,4.097,2.799
2018-09-30,2.86,4.09,2.798
2018-10-31,2.86,4.085,2.807
2018-11-30,2.86,4.061,2.816
2018-12-31,2.86,4.055,2.81
2019-01-31,2.86,4.047,2.795
2019-02-28,2.86,4.006,2.801
2019-03-31,2.86,3.999,2.81
2019-04-30,2.86,3.991,2.803
2019-05-31,2.86,3.979,2.801
2019-06-30,2.685,3.969,2.703
2019-07-31,2.685,3.959,2.695
2019-08-31,2.685,3.903,2.66
2019-09-30,2.685,3.892,2.611
2019-10-31,2.685,3.88,2.598
2019-11-30,2.685,3.863,2.6
2019-12-31,2.685,3.852,2.594
2020-01-31,2.685,3.841,2.597
2020-02-29,2.685,3.803,2.576
2020-03-31,2.685,3.784,2.484
2020-04-30,2.685,3.764,2.439
2020-05-31,2.685,3.716,2.421
2020-06-30,2.644,3.66,2.284
2020-07-31,2.644,3.622,2.288
2020-08-31,2.644,3.529,2.261
2020-09-30,2.644,3.49,2.256
2020-10-31,2.644,3.474,2.243
2020-11-30,2.644,3.411,2.224
2020-12-31,2.644,3.377,2.21
2021-01-31,2.644,3.364,2.201
2021-02-28,2.644,3.315,2.204
2021-03-31,2.644,3.282,2.221
2021-04-30,2.644,3.264,2.246
2021-05-31,2.644,3.236,2.23
2021-06-30,2.598,3.208,2.105
2021-07-31,2.598,3.196,2.116
